

Ruta consultada: /login ; Método: POST ; Fecha: 2024-12-22T21:46:22.945Z ; Ruta sin credenciales
Ruta consultada: /usuarios ; Método: GET ; Fecha: 2024-12-22T21:50:32.952Z ; Ruta con credenciales: Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6ImRvY2VudGVAZGVzYWZpb2xhdGFtLmNvbSIsImlhdCI6MTczNDkwNDA1MCwiZXhwIjoxNzM0OTA0MzUwfQ.9-rpZeF5Emeh2g1xVfwSs8ipbDDKwI9RidlPPR7gtNo
Ruta consultada: /usuarios ; Método: GET ; Fecha: 2024-12-22T21:50:32.957Z ; Ruta con credenciales: Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6ImRvY2VudGVAZGVzYWZpb2xhdGFtLmNvbSIsImlhdCI6MTczNDkwNDA1MCwiZXhwIjoxNzM0OTA0MzUwfQ.9-rpZeF5Emeh2g1xVfwSs8ipbDDKwI9RidlPPR7gtNo
Ruta: /usuarios ; Método: GET ; Fecha: 2024-12-22T21:50:32.962Z ; Respuesta: [{"email":"docente@desafiolatam.com","rol":"Backend Developer","lenguage":"Python"}]
Ruta: /usuarios ; Método: GET ; Fecha: 2024-12-22T21:50:32.965Z ; Respuesta: [{"email":"docente@desafiolatam.com","rol":"Backend Developer","lenguage":"Python"}]
Ruta consultada: /usuarios ; Método: GET ; Fecha: 2024-12-22T21:52:25.071Z ; Ruta con credenciales: Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6ImRvY2VudGVAZGVzYWZpb2xhdGFtLmNvbSIsImlhdCI6MTczNDkwNDA1MCwiZXhwIjoxNzM0OTA0MzUwfQ.9-rpZeF5Emeh2g1xVfwSs8ipbDDKwI9RidlPPR7gtNo
Ruta consultada: /usuarios ; Método: GET ; Fecha: 2024-12-22T21:52:25.076Z ; Ruta con credenciales: Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6ImRvY2VudGVAZGVzYWZpb2xhdGFtLmNvbSIsImlhdCI6MTczNDkwNDA1MCwiZXhwIjoxNzM0OTA0MzUwfQ.9-rpZeF5Emeh2g1xVfwSs8ipbDDKwI9RidlPPR7gtNo
Ruta: /usuarios ; Método: GET ; Fecha: 2024-12-22T21:52:25.122Z ; Respuesta: [{"email":"docente@desafiolatam.com","rol":"Backend Developer","lenguage":"Python"}]
Ruta: /usuarios ; Método: GET ; Fecha: 2024-12-22T21:52:25.238Z ; Respuesta: [{"email":"docente@desafiolatam.com","rol":"Backend Developer","lenguage":"Python"}]
Ruta consultada: /usuarios ; Método: GET ; Fecha: 2024-12-22T21:52:28.221Z ; Ruta con credenciales: Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6ImRvY2VudGVAZGVzYWZpb2xhdGFtLmNvbSIsImlhdCI6MTczNDkwNDA1MCwiZXhwIjoxNzM0OTA0MzUwfQ.9-rpZeF5Emeh2g1xVfwSs8ipbDDKwI9RidlPPR7gtNo
Ruta consultada: /usuarios ; Método: GET ; Fecha: 2024-12-22T21:52:28.225Z ; Ruta con credenciales: Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6ImRvY2VudGVAZGVzYWZpb2xhdGFtLmNvbSIsImlhdCI6MTczNDkwNDA1MCwiZXhwIjoxNzM0OTA0MzUwfQ.9-rpZeF5Emeh2g1xVfwSs8ipbDDKwI9RidlPPR7gtNo
Ruta: /usuarios ; Método: GET ; Fecha: 2024-12-22T21:52:28.231Z ; Respuesta: [{"email":"docente@desafiolatam.com","rol":"Backend Developer","lenguage":"Python"}]
Ruta: /usuarios ; Método: GET ; Fecha: 2024-12-22T21:52:28.234Z ; Respuesta: [{"email":"docente@desafiolatam.com","rol":"Backend Developer","lenguage":"Python"}]
Ruta: /usuarios ; Método: GET ; Fecha: 2024-12-22T21:52:37.322Z ; Respuesta: {"error":"TokenExpiredError: jwt expired"}
Ruta consultada: /usuarios ; Método: GET ; Fecha: 2024-12-22T21:52:37.320Z ; Ruta con credenciales: Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6ImRvY2VudGVAZGVzYWZpb2xhdGFtLmNvbSIsImlhdCI6MTczNDkwNDA1MCwiZXhwIjoxNzM0OTA0MzUwfQ.9-rpZeF5Emeh2g1xVfwSs8ipbDDKwI9RidlPPR7gtNo
Ruta consultada: /usuarios ; Método: GET ; Fecha: 2024-12-22T21:52:37.325Z ; Ruta con credenciales: Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6ImRvY2VudGVAZGVzYWZpb2xhdGFtLmNvbSIsImlhdCI6MTczNDkwNDA1MCwiZXhwIjoxNzM0OTA0MzUwfQ.9-rpZeF5Emeh2g1xVfwSs8ipbDDKwI9RidlPPR7gtNo
Ruta: /usuarios ; Método: GET ; Fecha: 2024-12-22T21:52:37.328Z ; Respuesta: {"error":"TokenExpiredError: jwt expired"}
Ruta consultada: /login ; Método: POST ; Fecha: 2024-12-22T21:58:07.021Z ; Ruta sin credenciales
Ruta consultada: /login ; Método: POST ; Fecha: 2024-12-22T21:58:07.021Z ; Parametros Body :  {"email":"docente8@desafiolatam.com","password":"123456"} 
Ruta: /login ; Método: POST ; Fecha: 2024-12-22T21:58:07.092Z ; Respuesta: {"error":"Correo NO Registrado"}
Ruta consultada: /login ; Método: POST ; Fecha: 2024-12-22T21:59:22.590Z ; Ruta sin credenciales
Ruta consultada: /login ; Método: POST ; Fecha: 2024-12-22T21:59:22.590Z ; Parametros Body :  {"email":"docente7@desafiolatam.com","password":"123456"} 
Ruta: /login ; Método: POST ; Fecha: 2024-12-22T21:59:22.633Z ; Respuesta: {"error":"Correo NO Registrado"}
Ruta consultada: /login ; Método: POST ; Fecha: 2024-12-22T21:59:31.714Z ; Ruta sin credenciales
Ruta consultada: /login ; Método: POST ; Fecha: 2024-12-22T21:59:31.714Z ; Parametros Body :  {"email":"docente@desafiolatam.com","password":"123456"} 
Ruta: /login ; Método: POST ; Fecha: 2024-12-22T21:59:31.821Z ; Respuesta: {"token":"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6ImRvY2VudGVAZGVzYWZpb2xhdGFtLmNvbSIsImlhdCI6MTczNDkwNDc3MSwiZXhwIjoxNzM0OTA1MDcxfQ.VcYl68fZ0UQ6ZAp4c9FInvDQMZ4Ss5owgLlhQkbZAr8","email":"docente@desafiolatam.com","rol":"Backend Developer","lenguage":"Python"}
Ruta consultada: /usuarios ; Método: GET ; Fecha: 2024-12-22T21:59:34.936Z ; Ruta con credenciales: Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6ImRvY2VudGVAZGVzYWZpb2xhdGFtLmNvbSIsImlhdCI6MTczNDkwNDc3MSwiZXhwIjoxNzM0OTA1MDcxfQ.VcYl68fZ0UQ6ZAp4c9FInvDQMZ4Ss5owgLlhQkbZAr8
Ruta consultada: /usuarios ; Método: GET ; Fecha: 2024-12-22T21:59:34.940Z ; Ruta con credenciales: Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6ImRvY2VudGVAZGVzYWZpb2xhdGFtLmNvbSIsImlhdCI6MTczNDkwNDc3MSwiZXhwIjoxNzM0OTA1MDcxfQ.VcYl68fZ0UQ6ZAp4c9FInvDQMZ4Ss5owgLlhQkbZAr8
Ruta: /usuarios ; Método: GET ; Fecha: 2024-12-22T21:59:34.944Z ; Respuesta: [{"email":"docente@desafiolatam.com","rol":"Backend Developer","lenguage":"Python"}]
Ruta: /usuarios ; Método: GET ; Fecha: 2024-12-22T21:59:35.098Z ; Respuesta: [{"email":"docente@desafiolatam.com","rol":"Backend Developer","lenguage":"Python"}]
Ruta consultada: /usuarios ; Método: GET ; Fecha: 2024-12-22T21:59:55.011Z ; Ruta con credenciales: Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6ImRvY2VudGVAZGVzYWZpb2xhdGFtLmNvbSIsImlhdCI6MTczNDkwNDc3MSwiZXhwIjoxNzM0OTA1MDcxfQ.VcYl68fZ0UQ6ZAp4c9FInvDQMZ4Ss5owgLlhQkbZAr8
Ruta consultada: /usuarios ; Método: GET ; Fecha: 2024-12-22T21:59:55.014Z ; Ruta con credenciales: Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6ImRvY2VudGVAZGVzYWZpb2xhdGFtLmNvbSIsImlhdCI6MTczNDkwNDc3MSwiZXhwIjoxNzM0OTA1MDcxfQ.VcYl68fZ0UQ6ZAp4c9FInvDQMZ4Ss5owgLlhQkbZAr8
Ruta: /usuarios ; Método: GET ; Fecha: 2024-12-22T21:59:55.055Z ; Respuesta: [{"email":"docente@desafiolatam.com","rol":"Backend Developer","lenguage":"Python"}]
Ruta: /usuarios ; Método: GET ; Fecha: 2024-12-22T21:59:55.062Z ; Respuesta: [{"email":"docente@desafiolatam.com","rol":"Backend Developer","lenguage":"Python"}]
Ruta consultada: /usuarios ; Método: GET ; Fecha: 2024-12-22T22:00:01.541Z ; Ruta con credenciales: Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6ImRvY2VudGVAZGVzYWZpb2xhdGFtLmNvbSIsImlhdCI6MTczNDkwNDc3MSwiZXhwIjoxNzM0OTA1MDcxfQ.VcYl68fZ0UQ6ZAp4c9FInvDQMZ4Ss5owgLlhQkbZAr8
Ruta consultada: /usuarios ; Método: GET ; Fecha: 2024-12-22T22:00:01.544Z ; Ruta con credenciales: Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6ImRvY2VudGVAZGVzYWZpb2xhdGFtLmNvbSIsImlhdCI6MTczNDkwNDc3MSwiZXhwIjoxNzM0OTA1MDcxfQ.VcYl68fZ0UQ6ZAp4c9FInvDQMZ4Ss5owgLlhQkbZAr8
Ruta: /usuarios ; Método: GET ; Fecha: 2024-12-22T22:00:01.549Z ; Respuesta: [{"email":"docente@desafiolatam.com","rol":"Backend Developer","lenguage":"Python"}]
Ruta: /usuarios ; Método: GET ; Fecha: 2024-12-22T22:00:01.552Z ; Respuesta: [{"email":"docente@desafiolatam.com","rol":"Backend Developer","lenguage":"Python"}]
Ruta consultada: /usuarios ; Método: GET ; Fecha: 2024-12-22T22:00:03.918Z ; Ruta con credenciales: Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6ImRvY2VudGVAZGVzYWZpb2xhdGFtLmNvbSIsImlhdCI6MTczNDkwNDc3MSwiZXhwIjoxNzM0OTA1MDcxfQ.VcYl68fZ0UQ6ZAp4c9FInvDQMZ4Ss5owgLlhQkbZAr8
Ruta consultada: /usuarios ; Método: GET ; Fecha: 2024-12-22T22:00:03.921Z ; Ruta con credenciales: Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6ImRvY2VudGVAZGVzYWZpb2xhdGFtLmNvbSIsImlhdCI6MTczNDkwNDc3MSwiZXhwIjoxNzM0OTA1MDcxfQ.VcYl68fZ0UQ6ZAp4c9FInvDQMZ4Ss5owgLlhQkbZAr8
Ruta: /usuarios ; Método: GET ; Fecha: 2024-12-22T22:00:03.924Z ; Respuesta: [{"email":"docente@desafiolatam.com","rol":"Backend Developer","lenguage":"Python"}]
Ruta: /usuarios ; Método: GET ; Fecha: 2024-12-22T22:00:03.927Z ; Respuesta: [{"email":"docente@desafiolatam.com","rol":"Backend Developer","lenguage":"Python"}]
Ruta consultada: /usuarios ; Método: GET ; Fecha: 2024-12-22T22:00:05.311Z ; Ruta con credenciales: Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6ImRvY2VudGVAZGVzYWZpb2xhdGFtLmNvbSIsImlhdCI6MTczNDkwNDc3MSwiZXhwIjoxNzM0OTA1MDcxfQ.VcYl68fZ0UQ6ZAp4c9FInvDQMZ4Ss5owgLlhQkbZAr8
Ruta consultada: /usuarios ; Método: GET ; Fecha: 2024-12-22T22:00:05.315Z ; Ruta con credenciales: Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6ImRvY2VudGVAZGVzYWZpb2xhdGFtLmNvbSIsImlhdCI6MTczNDkwNDc3MSwiZXhwIjoxNzM0OTA1MDcxfQ.VcYl68fZ0UQ6ZAp4c9FInvDQMZ4Ss5owgLlhQkbZAr8
Ruta: /usuarios ; Método: GET ; Fecha: 2024-12-22T22:00:05.320Z ; Respuesta: [{"email":"docente@desafiolatam.com","rol":"Backend Developer","lenguage":"Python"}]
Ruta: /usuarios ; Método: GET ; Fecha: 2024-12-22T22:00:05.323Z ; Respuesta: [{"email":"docente@desafiolatam.com","rol":"Backend Developer","lenguage":"Python"}]
Ruta consultada: /usuarios ; Método: POST ; Fecha: 2024-12-22T22:00:15.644Z ; Ruta sin credenciales
Ruta consultada: /usuarios ; Método: POST ; Fecha: 2024-12-22T22:00:15.644Z ; Parametros Body :  {"email":"docente@desafiolatam.com","password":"123456","rol":"Full Stack Developer","lenguage":"JavaScript"} 
Ruta: /usuarios ; Método: POST ; Fecha: 2024-12-22T22:00:15.742Z ; Respuesta: {"error":"El correo ya existe"}
Ruta: /usuarios ; Método: POST ; Fecha: 2024-12-22T22:00:15.743Z ; Respuesta: {"error":"El correo ya existe"}
Ruta consultada: /login ; Método: POST ; Fecha: 2024-12-22T22:00:26.351Z ; Ruta sin credenciales
Ruta consultada: /login ; Método: POST ; Fecha: 2024-12-22T22:00:26.351Z ; Parametros Body :  {"email":"docente@desafiolatam.com","password":"12345688"} 
Ruta: /login ; Método: POST ; Fecha: 2024-12-22T22:00:26.452Z ; Respuesta: Password incorrecto
Ruta consultada: /usuarios ; Método: GET ; Fecha: 2024-12-22T22:00:27.471Z ; Ruta con credenciales: Bearer undefined
Ruta consultada: /usuarios ; Método: GET ; Fecha: 2024-12-22T22:00:27.478Z ; Ruta con credenciales: Bearer undefined
Ruta consultada: /login ; Método: POST ; Fecha: 2024-12-22T22:00:49.624Z ; Ruta sin credenciales
Ruta consultada: /login ; Método: POST ; Fecha: 2024-12-22T22:00:49.624Z ; Parametros Body :  {"email":"docente@desafiolatam.com","password":"123456"} 
Ruta: /login ; Método: POST ; Fecha: 2024-12-22T22:00:49.730Z ; Respuesta: {"token":"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6ImRvY2VudGVAZGVzYWZpb2xhdGFtLmNvbSIsImlhdCI6MTczNDkwNDg0OSwiZXhwIjoxNzM0OTA1MTQ5fQ.xJGsFGsjmo-qTcm9MqBgJaSDfwxcGSEY77wwD972DfY","email":"docente@desafiolatam.com","rol":"Backend Developer","lenguage":"Python"}
Ruta consultada: /usuarios ; Método: GET ; Fecha: 2024-12-22T22:00:51.543Z ; Ruta con credenciales: Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6ImRvY2VudGVAZGVzYWZpb2xhdGFtLmNvbSIsImlhdCI6MTczNDkwNDg0OSwiZXhwIjoxNzM0OTA1MTQ5fQ.xJGsFGsjmo-qTcm9MqBgJaSDfwxcGSEY77wwD972DfY
Ruta consultada: /usuarios ; Método: GET ; Fecha: 2024-12-22T22:00:51.546Z ; Ruta con credenciales: Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6ImRvY2VudGVAZGVzYWZpb2xhdGFtLmNvbSIsImlhdCI6MTczNDkwNDg0OSwiZXhwIjoxNzM0OTA1MTQ5fQ.xJGsFGsjmo-qTcm9MqBgJaSDfwxcGSEY77wwD972DfY
Ruta: /usuarios ; Método: GET ; Fecha: 2024-12-22T22:00:51.551Z ; Respuesta: [{"email":"docente@desafiolatam.com","rol":"Backend Developer","lenguage":"Python"}]
Ruta: /usuarios ; Método: GET ; Fecha: 2024-12-22T22:00:51.595Z ; Respuesta: [{"email":"docente@desafiolatam.com","rol":"Backend Developer","lenguage":"Python"}]
Ruta consultada: /usuarios ; Método: GET ; Fecha: 2024-12-22T22:01:01.291Z ; Ruta con credenciales: Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6ImRvY2VudGVAZGVzYWZpb2xhdGFtLmNvbSIsImlhdCI6MTczNDkwNDg0OSwiZXhwIjoxNzM0OTA1MTQ5fQ.xJGsFGsjmo-qTcm9MqBgJaSDfwxcGSEY77wwD972DfY
Ruta consultada: /usuarios ; Método: GET ; Fecha: 2024-12-22T22:01:01.294Z ; Ruta con credenciales: Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6ImRvY2VudGVAZGVzYWZpb2xhdGFtLmNvbSIsImlhdCI6MTczNDkwNDg0OSwiZXhwIjoxNzM0OTA1MTQ5fQ.xJGsFGsjmo-qTcm9MqBgJaSDfwxcGSEY77wwD972DfY
